epoch,train_loss,val_loss,val_macro_auroc,val_macro_f1,lr,grad_scale,epoch_sec,gpu_mem_gb
1,0.415832,0.336255,0.889783,0.599495,6.666667e-04,65536,5.33,0.365
2,0.309887,0.305110,0.908125,0.694462,1.000000e-03,65536,4.80,0.365
3,0.288597,0.328326,0.910606,0.654928,1.000000e-03,65536,4.77,0.365
4,0.273689,0.296140,0.918569,0.678530,9.988834e-04,65536,4.79,0.365
5,0.262617,0.297516,0.920266,0.714314,9.955387e-04,65536,4.79,0.365
6,0.253696,0.294858,0.919460,0.710850,9.899809e-04,65536,4.82,0.365
7,0.245258,0.298321,0.917062,0.726629,9.822346e-04,65536,4.81,0.365
8,0.235433,0.314407,0.919404,0.685890,9.723345e-04,65536,4.81,0.365
9,0.227018,0.290519,0.919328,0.719454,9.603249e-04,65536,4.82,0.365
10,0.215784,0.309316,0.919280,0.682528,9.462594e-04,65536,4.82,0.365
11,0.203078,0.305293,0.919947,0.725512,9.302008e-04,65536,4.85,0.365
12,0.190021,0.328825,0.914470,0.704390,9.122208e-04,65536,4.85,0.365
13,0.170908,0.352988,0.911224,0.708106,8.923997e-04,65536,4.86,0.365
14,0.154985,0.413616,0.907389,0.687987,8.708261e-04,65536,4.87,0.365
15,0.135809,0.369678,0.908982,0.711472,8.475962e-04,65536,4.88,0.365
